index,raw,filtered
0,124.0,100.0000
1,122.0,123.9760
2,122.0,122.9414
3,121.0,122.5798
4,120.0,122.0645
5,121.0,121.4476
6,123.0,121.3200
7,120.0,121.7871
8,120.0,121.2968
9,120.0,120.9436
10,120.0,120.6876
11,120.0,120.5014
12,122.0,120.3658
13,118.0,120.8076
14,118.0,120.0488
15,119.0,119.4952
16,127.0,119.3614
17,127.0,121.4251
18,125.0,122.9313
19,125.0,123.4902
20,123.0,123.8981
21,125.0,123.6554
22,128.0,124.0187
23,126.0,125.0943
24,127.0,125.3390
25,121.0,125.7877
26,128.0,124.4943
27,124.0,125.4414
28,123.0,125.0520
29,122.0,124.4976
30,120.0,123.8229
31,122.0,122.7901
32,122.0,122.5766
33,122.0,122.4209
34,121.0,122.3072
35,126.0,121.9540
36,126.0,123.0471
37,125.0,123.8448
38,125.0,124.1569
39,120.0,124.3847
40,120.0,123.2001
41,120.0,122.3356
42,118.0,121.7046
43,118.0,120.7038
44,120.0,119.9733
45,120.0,119.9805
46,117.0,119.9858
47,116.0,119.1792
48,116.0,118.3203
49,118.0,117.6935
50,122.0,117.7763
51,121.0,118.9173
52,124.0,119.4800
53,125.0,120.7011
54,127.0,121.8625
55,127.0,123.2504
56,127.0,124.2634
57,125.0,125.0027
58,126.0,125.0020
59,124.0,125.2716
60,123.0,124.9281
61,122.0,124.4072
62,121.0,123.7569
63,122.0,123.0121
64,125.0,122.7387
65,129.0,123.3496
66,129.0,124.8761
67,129.0,125.9902
68,123.0,126.8033
69,127.0,125.7758
70,127.0,126.1065
71,122.0,126.3479
72,125.0,125.1733
73,122.0,125.1265
74,128.0,124.2818
75,128.0,125.2863
76,130.0,126.0194
77,130.0,127.0948
78,129.0,127.8797
79,125.0,128.1823
80,130.0,127.3226
81,122.0,128.0459
82,128.0,126.4126
83,121.0,126.8414
84,126.0,125.2633
85,125.0,125.4623
86,125.0,125.3374
87,121.0,125.2463
88,125.0,124.0991
89,128.0,124.3425
90,126.0,125.3306
91,124.0,125.5114
92,120.0,125.1031
93,120.0,123.7245
94,124.0,122.7183
95,123.0,123.0645
96,123.0,123.0471
97,124.0,123.0344
98,124.0,123.2953
99,123.0,123.4856
100,123.0,123.3544
101,122.0,123.2587
102,123.0,122.9186
103,123.0,122.9406
104,122.0,122.9567
105,122.0,122.6982
106,122.0,122.5096
107,124.0,122.3719
108,124.0,122.8118
109,122.0,123.1328
110,127.0,122.8267
111,125.0,123.9542
112,126.0,124.2367
113,124.0,124.7131
114,122.0,124.5204
115,119.0,123.8395
116,124.0,122.5321
117,124.0,122.9287
118,125.0,123.2181
119,128.0,123.6995
120,128.0,124.8613
121,123.0,125.7092
122,123.0,124.9773
123,126.0,124.4431
124,126.0,124.8637
125,125.0,125.1707
126,129.0,125.1246
127,129.0,126.1716
128,129.0,126.9357
129,129.0,127.4934
130,129.0,127.9004
131,129.0,128.1975
132,131.0,128.4143
133,134.0,129.1128
134,130.0,130.4331
135,134.0,130.3161
136,134.0,131.3113
137,132.0,132.0377
138,136.0,132.0275
139,128.0,133.1007
140,129.0,131.7227
141,129.0,130.9872
142,132.0,130.4503
143,127.0,130.8690
144,124.0,129.8237
145,124.0,128.2504
146,128.0,127.1021
147,124.0,127.3447
148,119.0,126.4411
149,122.0,124.4309
150,120.0,123.7741
151,120.0,122.7545
152,120.0,122.0104
153,117.0,121.4673
154,117.0,120.2604
155,121.0,119.3796
156,120.0,119.8174
157,123.0,119.8667
158,124.0,120.7132
159,125.0,121.6011
160,125.0,122.5194
161,125.0,123.1895
162,125.0,123.6786
163,119.0,124.0356
164,120.0,122.6752
165,120.0,121.9525
166,125.0,121.4250
167,121.0,122.3908
168,123.0,122.0151
169,123.0,122.2812
170,119.0,122.4754
171,119.0,121.5365
172,123.0,120.8512
173,121.0,121.4317
174,125.0,121.3151
175,124.0,122.3106
176,122.0,122.7670
177,124.0,122.5598
178,119.0,122.9489
179,124.0,121.8821
180,124.0,122.4542
181,130.0,122.8718
182,127.0,124.7976
183,127.0,125.3926
184,130.0,125.8268
185,130.0,126.9542
186,126.0,127.7771
187,126.0,127.2970
188,130.0,126.9466
189,125.0,127.7715
190,126.0,127.0228
191,126.0,126.7465
192,126.0,126.5448
193,120.0,126.3976
194,120.0,124.6693
195,121.0,123.4078
196,120.0,122.7573
197,119.0,122.0124
198,117.0,121.1986
199,118.0,120.0643
200,115.0,119.5066
201,119.0,118.2891
202,119.0,118.4812
203,116.0,118.6213
204,116.0,117.9132
205,122.0,117.3963
206,121.0,118.6400
207,123.0,119.2776
208,123.0,120.2832
209,123.0,121.0172
210,119.0,121.5528
211,119.0,120.8632
212,119.0,120.3598
213,120.0,119.9925
214,121.0,119.9945
215,121.0,120.2661
216,114.0,120.4644
217,114.0,118.7180
218,113.0,117.4434
219,109.0,116.2430
220,115.0,114.2863
221,109.0,114.4791
222,109.0,112.9989
223,110.0,111.9185
224,110.0,111.4002
225,108.0,111.0220
226,111.0,110.2056
227,112.0,110.4202
228,112.0,110.8470
229,107.0,111.1585
230,109.0,110.0350
231,113.0,109.7554
232,119.0,110.6320
233,116.0,112.8926
234,117.0,113.7321
235,123.0,114.6150
236,126.0,116.8802
237,127.0,119.3440
238,129.0,121.4123
239,129.0,123.4622
240,125.0,124.9582
241,125.0,124.9695
242,128.0,124.9778
243,129.0,125.7942
244,122.0,126.6603
245,126.0,125.4013
246,126.0,125.5630
247,120.0,125.6811
248,120.0,124.1463
249,125.0,123.0262
250,125.0,123.5594
251,128.0,123.9486
252,124.0,125.0431
253,124.0,124.7613
254,126.0,124.5556
255,119.0,124.9458
256,122.0,123.3395
257,126.0,122.9776
258,122.0,123.7942
259,121.0,123.3095
260,125.0,122.6855
261,124.0,123.3108
262,127.0,123.4970
263,129.0,124.4434
264,125.0,125.6744
265,126.0,125.4922
